#DIAMETER;VOLUME;PROJECTION;PROFILE
8.8;100;2.5;M
9.3;125;2.8;M
10.2;150;2.7;M
10.7;175;2.8;M
11.2;200;2.8;M
11.4;225;3.0;M
11.5;250;3.3;M
12.4;275;3.4;M
12.6;300;3.5;M
12.9;325;3.6;M
13.4;350;3.7;M
13.4;375;3.8;M
13.5;400;3.9;M
13.9;450;4.1;M
14.2;500;4.3;M
14.8;550;4.4;M
15.4;600;4.5;M
16.8;700;4.3;M
17.2;800;4.6;M
8.1;100;2.7;MP
8.8;125;2.9;MP
9.4;150;3.0;MP
10.0;175;3.2;MP
10.5;200;3.3;MP
10.9;225;3.5;MP
11.3;250;3.6;MP
11.7;275;3.7;MP
12.0;300;3.7;MP
12.3;325;3.8;MP
12.6;350;3.8;MP
12.9;375;3.9;MP
13.2;400;4.0;MP
13.7;450;4.1;MP
14.1;500;4.2;MP
14.4;550;4.4;MP
14.7;600;4.5;MP
15.7;700;4.8;MP
16.6;800;5.0;MP
8.4;125;3.6;H
8.9;150;3.8;H
9.4;175;4.0;H
9.9;200;4.1;H
10.2;225;4.3;H
10.5;250;4.5;H
10.9;275;4.6;H
11.1;300;4.7;H
11.5;325;4.8;H
11.7;350;4.9;H
12.0;375;5.0;H
12.3;400;5.1;H
12.5;425;5.2;H
12.7;450;5.2;H
13.2;500;5.4;H
13.5;550;5.6;H
14.0;600;5.7;H
14.3;650;5.8;H
14.7;700;6.0;H
15.4;800;6.3;H
8.0;135;4.3;UH
8.4;160;4.5;UH
8.6;185;4.6;UH
8.9;215;4.7;UH
9.2;240;4.9;UH
9.5;270;5.0;UH
9.9;295;5.2;UH
10.0;320;5.3;UH
10.3;350;5.4;UH
10.5;375;5.5;UH
10.8;400;5.6;UH
11.1;430;5.8;UH
11.3;455;5.9;UH
11.6;480;6.0;UH
12.1;535;6.3;UH
12.6;590;6.5;UH
