#DIAMETER;VOLUME;PROJECTION;PROFILE
9.4;100;1.9;L
10.1;125;2.0;L
10.7;150;2.2;L
11.3;175;2.3;L
11.8;200;2.4;L
12.3;225;2.5;L
12.7;250;2.6;L
13.1;275;2.7;L
13.5;300;2.7;L
13.9;325;2.8;L
14.2;350;2.9;L
14.5;375;2.9;L
14.8;400;3.0;L
15.4;450;3.1;L
16.0;500;3.3;L
16.5;550;3.4;L
17.0;600;3.5;L
9.3;100;2.1;M
10.0;125;2.2;M
10.3;150;2.3;M
11.2;175;2.4;M
11.7;200;2.5;M
12.2;225;2.6;M
12.3;250;2.8;M
13.2;275;2.9;M
13.5;300;3.0;M
13.9;325;3.0;M
14.2;350;3.1;M
14.4;375;3.2;M
14.5;400;3.2;M
14.9;450;3.4;M
15.2;500;3.6;M
15.9;550;3.6;M
16.5;600;3.7;M
17.4;700;3.9;M
18.2;800;4.1;M
8.2;100;2.7;MP
8.9;125;2.8;MP
9.5;150;2.9;MP
10.0;175;3.1;MP
10.5;200;3.2;MP
10.9;225;3.3;MP
11.3;250;3.4;MP
11.7;275;3.5;MP
12.0;300;3.6;MP
12.3;325;3.8;MP
12.5;350;3.9;MP
12.8;375;4.0;MP
13.1;400;4.0;MP
13.6;450;4.2;MP
14.1;500;4.3;MP
14.6;550;4.5;MP
15.0;600;4.6;MP
15.8;700;4.9;MP
16.5;800;5.1;MP
8.3;125;3.5;H
8.8;150;3.7;H
9.3;175;3.9;H
9.7;200;4.0;H
10.1;225;4.2;H
10.5;250;4.3;H
10.8;275;4.4;H
11.1;300;4.5;H
11.4;325;4.6;H
11.7;350;4.8;H
12.0;375;4.8;H
12.2;400;5.0;H
12.5;425;5.0;H
12.8;450;5.1;H
13.2;500;5.3;H
13.6;550;5.5;H
14.0;600;5.6;H
14.4;650;5.7;H
14.8;700;5.8;H
15.5;800;6.0;H
7.8;135;4.1;UH
8.2;160;4.3;UH
8.4;185;4.4;UH
8.7;215;4.5;UH
9.0;240;4.7;UH
9.3;270;4.8;UH
9.7;295;5.0;UH
9.8;320;5.1;UH
10.1;350;5.2;UH
10.4;375;5.3;UH
10.6;400;5.4;UH
10.9;430;5.6;UH
11.2;455;5.7;UH
11.4;480;5.8;UH
12.0;535;6.1;UH
12.5;590;6.3;UH
